City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Avarua,CK,2022-04-04 00:16:26,-21.2078,-159.775,78.85,89,20,11.5
146,Tukrah,LY,2022-04-04 00:16:27,32.5341,20.5791,65.37,50,0,12.3
147,Airai,TL,2022-04-04 00:14:31,-8.9266,125.4092,67.48,61,31,2.01
148,Yar-Sale,RU,2022-04-04 00:16:27,66.8333,70.8333,14.13,89,100,17.47
149,Chapais,CA,2022-04-04 00:16:28,49.7834,-74.8492,37.18,91,100,4.63
150,Ouesso,CG,2022-04-04 00:16:28,1.6136,16.0517,72.77,91,94,1.54
151,Svetlogorsk,BY,2022-04-04 00:16:28,52.6333,29.7333,23.76,86,87,6.11
152,Cherskiy,RU,2022-04-04 00:16:29,68.75,161.3,0.19,88,100,3.78
153,Srednekolymsk,RU,2022-04-04 00:12:20,67.45,153.6833,1.54,90,93,4.12
154,Bambous Virieux,MU,2022-04-04 00:16:29,-20.3428,57.7575,79.21,83,75,10.36
155,Illkirch-Graffenstaden,FR,2022-04-04 00:16:30,48.5289,7.7152,29.91,93,0,3.44
156,Dvurechensk,RU,2022-04-04 00:16:30,56.5982,61.0953,39.58,94,100,7.49
157,Amazar,RU,2022-04-04 00:16:31,53.858,120.875,19.36,65,49,6.2
158,Prince Rupert,CA,2022-04-04 00:15:09,54.3161,-130.3201,41.09,93,75,32.21
159,Bahia Blanca,AR,2022-04-04 00:16:12,-38.7196,-62.2724,55.02,35,9,9.06
160,Sitka,US,2022-04-04 00:16:32,57.0531,-135.33,40.89,75,75,14.97
161,Pontianak,ID,2022-04-04 00:16:32,-0.0333,109.3333,76.98,88,40,3.44
162,Atuona,PF,2022-04-04 00:12:02,-9.8,-139.0333,79.86,71,23,20.78
163,Kitui,KE,2022-04-04 00:16:33,-1.367,38.0106,65.17,84,92,2.57
164,Dikson,RU,2022-04-04 00:16:33,73.5069,80.5464,-2.4,99,64,8.63
165,Zhireken,RU,2022-04-04 00:16:34,52.8249,117.3076,19.62,35,47,6.35
166,Nioro,GM,2022-04-04 00:16:34,13.35,-15.75,75.49,42,55,12.19
167,Paris,FR,2022-04-04 00:16:34,48.8534,2.3488,36.21,80,0,5.75
168,Boende,CD,2022-04-04 00:16:35,-0.2167,20.8667,71.37,85,98,2.3
169,Buraydah,SA,2022-04-04 00:16:35,26.326,43.975,70.25,12,68,8.5
170,Beloha,MG,2022-04-04 00:16:35,-25.1667,45.05,71.38,89,0,10.65
171,Orlik,RU,2022-04-04 00:16:36,52.5178,99.825,19.96,93,100,7.49
172,Panguipulli,CL,2022-04-04 00:15:52,-39.6333,-72.3333,43.75,88,45,2.08
173,Anadyr,RU,2022-04-04 00:16:36,64.75,177.4833,1.9,70,24,15.66
174,Odweyne,SO,2022-04-04 00:16:37,9.4092,45.064,70.93,33,10,5.86
175,Roma,US,2022-04-04 00:16:37,43.2128,-75.4557,36.37,95,100,12.66
176,Naryan-Mar,RU,2022-04-04 00:16:37,67.6713,53.087,15.12,90,100,12.39
177,Benguela,AO,2022-04-04 00:16:38,-12.5763,13.4055,75.76,85,94,7.25
178,Conceicao Do Araguaia,BR,2022-04-04 00:16:38,-8.2578,-49.2647,74.17,93,74,1.43
179,Ketchikan,US,2022-04-04 00:16:39,55.3422,-131.6461,43.27,75,100,13.8
180,Karlskoga,SE,2022-04-04 00:17:39,59.3267,14.5239,36.72,95,100,6.53
181,Okhotsk,RU,2022-04-04 00:17:39,59.3833,143.3,22.89,89,100,13.0
182,Baripada,IN,2022-04-04 00:17:40,21.935,86.7214,77.27,83,7,12.55
183,Caceres,ES,2022-04-04 00:17:40,39.522,-6.3748,42.35,43,57,18.07
184,Aykhal,RU,2022-04-04 00:17:40,66.0,111.5,4.33,95,100,10.22
185,Luderitz,NA,2022-04-04 00:17:41,-26.6481,15.1594,58.96,86,0,4.99
186,Esperance,AU,2022-04-04 00:17:41,-33.8667,121.9,64.24,87,100,2.82
187,Goderich,CA,2022-04-04 00:12:46,43.7501,-81.7165,35.91,91,37,6.85
188,Lewistown,US,2022-04-04 00:17:42,40.5992,-77.5714,41.72,84,75,8.05
189,Saint-Philippe,RE,2022-04-04 00:15:18,-21.3585,55.7679,74.79,88,98,12.21
190,Wajima,JP,2022-04-04 00:17:42,37.4,136.9,54.28,71,20,5.75
191,Qui Nhon,VN,2022-04-04 00:17:43,13.7667,109.2333,72.63,84,100,18.39
192,Opuwo,NA,2022-04-04 00:17:43,-18.0607,13.84,64.99,74,21,3.2
193,Ostrovnoy,RU,2022-04-04 00:17:43,68.0531,39.5131,12.74,94,92,6.93
194,Riyadh,SA,2022-04-04 00:17:44,24.6877,46.7219,75.34,13,90,5.46
195,Kalmunai,LK,2022-04-04 00:17:44,7.4167,81.8167,77.25,86,23,3.15
196,Redlands,US,2022-04-04 00:17:45,34.0556,-117.1825,75.92,57,100,3.44
197,Westport,US,2022-04-04 00:17:45,41.1415,-73.3579,44.15,94,100,4.61
198,Tanout,NE,2022-04-04 00:17:46,14.9709,8.8879,81.25,6,71,9.69
199,Monrovia,LR,2022-04-04 00:15:49,6.3005,-10.7969,78.69,89,85,4.97
200,Veinticinco De Mayo,AR,2022-04-04 00:17:46,-35.4323,-60.1727,52.99,57,6,7.31
201,Yeppoon,AU,2022-04-04 00:17:47,-23.1333,150.7333,82.18,63,49,10.54
202,Port Lincoln,AU,2022-04-04 00:17:47,-34.7333,135.8667,64.92,66,13,5.46
203,Chokurdakh,RU,2022-04-04 00:17:48,70.6333,147.9167,-6.07,95,85,3.44
204,Lunenburg,CA,2022-04-04 00:17:48,44.3835,-64.3155,42.85,63,86,6.91
205,Kruisfontein,ZA,2022-04-04 00:17:48,-34.0033,24.7314,57.88,87,63,4.56
206,Vidim,RU,2022-04-04 00:17:49,56.4088,103.1106,18.21,82,84,4.09
207,Richards Bay,ZA,2022-04-04 00:17:49,-28.783,32.0377,75.74,84,89,11.36
208,Cap Malheureux,MU,2022-04-04 00:17:50,-19.9842,57.6142,79.47,82,18,5.01
209,Olinda,BR,2022-04-04 00:17:50,-8.0089,-34.8553,82.13,78,75,9.22
210,Nuevo Progreso,MX,2022-04-04 00:17:50,23.1667,-97.95,78.55,64,40,1.99
211,Arraial Do Cabo,BR,2022-04-04 00:17:51,-22.9661,-42.0278,76.69,87,11,5.53
212,Palu,ID,2022-04-04 00:17:51,-0.8917,119.8707,80.89,75,95,1.83
213,Kaeo,NZ,2022-04-04 00:17:51,-35.1,173.7833,74.32,79,45,5.41
214,Ilulissat,GL,2022-04-04 00:17:52,69.2167,-51.1,24.82,80,20,0.0
215,Pangkalanbuun,ID,2022-04-04 00:17:52,-2.6833,111.6167,76.82,92,55,1.43
216,Olafsvik,IS,2022-04-04 00:17:53,64.8945,-23.7142,33.85,80,99,21.59
217,Sola,VU,2022-04-04 00:17:53,-13.8833,167.55,77.67,94,100,3.44
218,Angren,UZ,2022-04-04 00:17:54,41.0167,70.1436,54.77,43,94,8.25
219,Pinahat,IN,2022-04-04 00:17:54,26.8839,78.3781,76.35,7,0,1.68
220,Tuatapere,NZ,2022-04-04 00:17:55,-46.1333,167.6833,61.66,54,43,1.28
221,Bethel,US,2022-04-04 00:17:55,41.3712,-73.414,42.03,91,100,1.01
222,Valls,ES,2022-04-04 00:17:55,41.2861,1.2499,43.48,72,40,6.91
223,Portland,US,2022-04-04 00:14:52,45.5234,-122.6762,58.44,66,100,13.8
224,Manali,IN,2022-04-04 00:17:56,13.1667,80.2667,82.49,89,89,7.76
225,Camacupa,AO,2022-04-04 00:17:56,-12.0167,17.4833,61.39,91,100,2.37
