City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Twin Falls,US,42.3505,-114.6445,55.74,23,0,11.5,clear sky
166,Itaituba,BR,-4.2761,-55.9836,73.4,98,89,1.07,light rain
167,Bambanglipuro,ID,-7.95,110.2833,80.38,80,28,2.62,scattered clouds
168,Leningradskiy,RU,69.3833,178.4167,-6.72,92,100,4.03,overcast clouds
169,Iskateley,RU,67.6803,53.1512,16.27,91,100,12.66,overcast clouds
170,Srednekolymsk,RU,67.45,153.6833,3.63,86,85,4.23,overcast clouds
171,Lavrentiya,RU,65.5833,-171.0,-2.16,81,7,11.16,clear sky
172,Sangar,RU,63.9242,127.4739,20.97,92,100,3.47,overcast clouds
173,Kasempa,ZM,-13.4584,25.8338,62.15,89,81,4.29,light rain
174,Tapah,MY,4.2004,101.2598,76.95,89,99,1.23,overcast clouds
175,Luderitz,NA,-26.6481,15.1594,58.24,88,0,4.09,clear sky
176,Puerto Madryn,AR,-42.7692,-65.0385,59.05,36,6,18.25,clear sky
177,Kaitangata,NZ,-46.2817,169.8464,63.59,55,0,1.68,clear sky
178,Ostrovnoy,RU,68.0531,39.5131,14.16,92,93,6.58,overcast clouds
179,Tigil,RU,57.8,158.6667,25.54,81,100,10.78,overcast clouds
180,Mahebourg,MU,-20.4081,57.7,79.25,83,75,10.36,broken clouds
181,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,75,10.36,light rain
182,Baherden,TM,38.4362,57.4316,75.13,19,0,6.06,clear sky
183,Bata,GQ,1.8639,9.7658,79.54,81,96,4.29,overcast clouds
184,Cervo,ES,43.6702,-7.4101,46.96,70,90,18.9,overcast clouds
185,Tiksi,RU,71.6872,128.8694,6.13,93,100,8.46,overcast clouds
186,Anaimalai,IN,10.5833,76.9333,73.71,85,100,3.02,overcast clouds
187,Port Hawkesbury,CA,45.6169,-61.3485,33.58,91,0,3.44,clear sky
188,Namatanai,PG,-3.6667,152.4333,84.74,70,100,6.26,light rain
189,Goreloye,RU,52.937,41.5043,30.81,92,100,5.59,overcast clouds
190,Narayangarh,IN,30.4833,77.1333,70.86,10,0,4.0,clear sky
191,Dunedin,NZ,-45.8742,170.5036,63.81,61,11,4.0,few clouds
192,Mar Del Plata,AR,-38.0023,-57.5575,57.22,65,0,13.0,clear sky
193,Kirakira,SB,-10.4544,161.9205,82.0,84,100,12.06,overcast clouds
194,Biak,ID,-0.9131,122.8766,81.59,75,90,2.46,overcast clouds
195,Kyaukse,MM,21.6,96.1333,77.0,83,40,0.0,haze
196,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.0,broken clouds
197,Litovko,RU,49.2361,135.1742,39.61,87,7,13.33,clear sky
198,Puerto Baquerizo Moreno,EC,-0.9,-89.6,78.22,83,100,8.43,light rain
199,Jamestown,US,42.097,-79.2353,34.02,71,100,11.5,overcast clouds
200,Norton,ZW,-17.8833,30.7,60.19,96,16,4.34,few clouds
201,Lulea,SE,65.5842,22.1547,24.87,93,100,6.91,overcast clouds
202,Port Hardy,CA,50.6996,-127.4199,44.78,81,75,6.91,light intensity shower rain
203,Labuhan,ID,-6.8844,112.2051,80.15,80,58,6.82,broken clouds
204,Anadyr,RU,64.75,177.4833,3.7,71,86,15.66,overcast clouds
205,Poum,NC,-20.2333,164.0167,81.91,84,100,20.02,moderate rain
206,Aras,ES,42.5617,-2.356,34.23,70,100,6.91,overcast clouds
207,Port Pirie,AU,-33.1833,138.0167,69.89,40,6,5.82,clear sky
208,Tshikapa,CD,-6.4167,20.8,71.35,93,100,1.97,light rain
209,Kahului,US,20.8947,-156.47,80.62,70,20,31.07,few clouds
210,Lorengau,PG,-2.0226,147.2712,84.74,68,67,4.9,broken clouds
211,Nakhon Nayok,TH,14.1667,101.1,74.37,56,100,3.47,overcast clouds
212,Iberia,US,29.9502,-91.7507,75.27,56,0,12.66,clear sky
213,Jurm,AF,36.8648,70.8342,49.55,35,0,6.24,clear sky
214,Celano,IT,42.0855,13.5398,38.61,81,100,5.01,overcast clouds
215,Daru,PG,-9.0763,143.2092,85.23,67,42,6.29,scattered clouds
216,Neftcala,AZ,39.3742,49.2472,61.95,54,81,11.5,broken clouds
217,Huangchuan,CN,32.1272,115.0394,60.13,62,100,4.85,overcast clouds
218,Valentin Gomez Farias,MX,28.2167,-106.5833,74.46,9,67,21.94,broken clouds
219,Tynda,RU,55.1667,124.7167,20.77,59,63,10.56,broken clouds
220,Urazovo,RU,50.0836,38.0395,35.44,94,100,10.02,overcast clouds
221,Osmena,PH,10.5208,119.9258,82.47,76,26,19.19,scattered clouds
222,Kieta,PG,-6.2167,155.6333,83.43,77,100,6.04,moderate rain
223,Jinotega,NI,13.0917,-86.0018,69.49,49,10,3.33,clear sky
224,Bam,IR,29.106,58.357,72.59,10,91,6.26,overcast clouds
225,Airai,TL,-8.9266,125.4092,70.75,55,10,2.66,clear sky
226,Mayo,US,38.8876,-76.5119,48.67,48,40,18.41,scattered clouds
227,Ochsenfurt,DE,49.6643,10.0623,30.04,91,14,5.95,few clouds
228,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,97,13.44,overcast clouds
229,Dandong,CN,40.1292,124.3947,51.37,53,0,10.22,clear sky
230,Fairbanks,US,64.8378,-147.7164,28.24,56,0,9.22,clear sky
231,Talnakh,RU,69.4865,88.3972,0.03,96,86,7.76,overcast clouds
232,Gravdal,NO,68.1214,13.5031,29.46,64,96,20.18,overcast clouds
233,Kudinovo,RU,54.9994,36.2533,16.9,94,100,5.01,overcast clouds
234,Kosovska Mitrovica,XK,42.8833,20.8667,35.94,91,95,1.19,overcast clouds
235,Buraydah,SA,26.326,43.975,70.25,13,87,8.84,overcast clouds
236,Guerande,FR,47.3291,-2.4283,35.02,76,15,8.46,few clouds
237,Weyburn,CA,49.6668,-103.8511,48.42,37,24,8.05,few clouds
238,Lakes Entrance,AU,-37.8811,147.981,61.32,87,100,16.75,overcast clouds
239,Geraldton,AU,-28.7667,114.6,73.81,78,100,18.41,overcast clouds
240,Goure,NE,13.9835,10.2704,77.76,7,79,6.64,broken clouds
241,Hualmay,PE,-11.0964,-77.6139,69.28,85,42,8.79,scattered clouds
242,Manokwari,ID,-0.8667,134.0833,82.78,73,100,6.2,overcast clouds
243,Dukat,RU,62.55,155.55,9.99,82,95,2.73,overcast clouds
244,Lasa,IT,46.6166,10.7002,35.69,95,99,1.88,overcast clouds
245,Mezen,RU,65.8522,44.24,0.34,100,72,2.8,broken clouds
246,Shingu,JP,33.7333,135.9833,60.89,60,6,5.53,clear sky
247,Berdsk,RU,54.7551,83.0967,33.4,99,100,4.97,overcast clouds
248,Dingle,PH,10.9995,122.6711,83.21,71,99,12.35,overcast clouds
249,Cutro,IT,39.0353,16.9819,47.66,53,100,2.89,light rain
250,Katipunan,PH,7.5825,122.8306,81.05,75,50,2.08,scattered clouds
251,Margate,GB,51.3813,1.3862,40.87,65,97,4.0,overcast clouds
252,Pitimbu,BR,-7.4706,-34.8086,75.79,79,67,10.89,broken clouds
253,Loiza,PR,18.4313,-65.8802,78.8,79,20,4.61,few clouds
254,Truro,GB,50.2653,-5.0544,47.48,71,75,13.8,broken clouds
255,Osa,RU,57.2829,55.4567,36.86,88,100,14.7,overcast clouds
