City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Grindavik,IS,37.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
156,Muzhi,RU,21.27,light snow,65.3667,64.6667,Gostinitsa
157,Eydhafushi,MV,82.83,clear sky,5.1033,73.0708,Soneva Fushi
158,Kudahuvadhoo,MV,83.01,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
160,Port Saint Lucie,US,71.98,overcast clouds,27.2939,-80.3503,Best Western Port St. Lucie
162,Hays,US,78.94,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
163,Kamiiso,JP,48.58,few clouds,41.8167,140.65,Business Inn Abe
164,Sao Felix Do Xingu,BR,73.04,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
166,Itaituba,BR,73.4,light rain,-4.2761,-55.9836,Hotel Campos
167,Bambanglipuro,ID,80.38,scattered clouds,-7.95,110.2833,Puri Brata
169,Iskateley,RU,16.27,overcast clouds,67.6803,53.1512,Hostel Agat
173,Kasempa,ZM,62.15,light rain,-13.4584,25.8338,Lolelunga Forest Reserve
174,Tapah,MY,76.95,overcast clouds,4.2004,101.2598,Shahrini Homestay
176,Puerto Madryn,AR,59.05,clear sky,-42.7692,-65.0385,Hotel Tolosa
177,Kaitangata,NZ,63.59,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
179,Tigil,RU,25.54,overcast clouds,57.8,158.6667,Tigil'
180,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
181,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
183,Bata,GQ,79.54,overcast clouds,1.8639,9.7658,Hotel Elik Melen
184,Cervo,ES,46.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
186,Anaimalai,IN,73.71,overcast clouds,10.5833,76.9333,Mullai Farms
187,Port Hawkesbury,CA,33.58,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
188,Namatanai,PG,84.74,light rain,-3.6667,152.4333,Seagulls Inn Namatani
